id_terraza,id_local,rotulo,Superficie,FechaLicencia,mesas_es,sameAsWikidataMesas,sillas_es
7,280067128,SR,7'2,24/03/2014,5,https://wikidata.org/entity/Q19610,10
33,270403150,HONTANARES,21'06,04/04/2014,9,https://wikidata.org/entity/Q23339,27
34,270078567,BAR MARISQUERIA LUIS,11'16,04/04/2014,4,https://wikidata.org/entity/Q19620,14
36,40002021,SAGAR,7'2,07/04/2014,5,https://wikidata.org/entity/Q19610,10
40,40002808,WAGABOO,25'48,07/04/2014,8,https://wikidata.org/entity/Q23348,24
41,270495851,THE JAMES JOYCE IRISH PUB,21'04,07/04/2014,6,https://wikidata.org/entity/Q19774,24
44,40001459,HOTEL ABBA MADRID,19'44,07/04/2014,6,https://wikidata.org/entity/Q19774,24
50,180000457,LA CHOZITA,84'68,10/04/2014,27,https://wikidata.org/entity/Q2360,92
51,270076142,EL NUEVO RINCÓN DE JAÉN,21'66,14/04/2014,8,https://wikidata.org/entity/Q23348,25
52,270071068,VIENA CAPELLANES,12'43,14/04/2014,3,https://wikidata.org/entity/Q19636,9
54,280062208,BAR LAS TORRES,21'66,14/04/2014,6,https://wikidata.org/entity/Q19774,24
56,170000773,KEBAB ARMENIA,12'96,14/04/2014,4,https://wikidata.org/entity/Q19620,16
58,270075832,CAFETERIA PARISIENA,33'65,14/04/2014,8,https://wikidata.org/entity/Q23348,24
60,180000598,EL RINCON DEL TIO PEPE,34'07,14/04/2014,8,https://wikidata.org/entity/Q23348,32
63,270266255,BAR  SAN JULIAN,9'72,14/04/2014,3,https://wikidata.org/entity/Q19636,12
66,200000837,BAR JOSUE,10'23,14/04/2014,4,https://wikidata.org/entity/Q19620,16
67,280067055,RESTAURANTE BAR TORRES,36'78,14/04/2014,12,https://wikidata.org/entity/Q23378,47
68,270201818,BONGO CAFE,11'19,15/04/2014,5,https://wikidata.org/entity/Q19610,13
69,270380946,EL ARBOL Y LA TOSTA,5'04,15/04/2014,3,https://wikidata.org/entity/Q19636,6
72,210000683,BURGER KING,29'16,23/04/2014,9,https://wikidata.org/entity/Q23339,36
73,280060978,RESTAURANTE 40 & CUATRO,97'2,24/04/2014,30,https://wikidata.org/entity/Q23295,120
74,270202022,BAR-RESTAURANTE,104'6,24/04/2014,30,https://wikidata.org/entity/Q23295,112
76,170001120,CERVECERIA MINERVA,28'8,24/04/2014,8,https://wikidata.org/entity/Q23348,32
77,170000836,BAR DONDE SIEMPRE,64'12,24/04/2014,21,https://wikidata.org/entity/Q23772,80
78,170001098,LA PARADA ESQUINA,47'96,24/04/2014,11,https://wikidata.org/entity/Q23515,44
79,270228707,BURGUER CAROVI,29'13,24/04/2014,10,https://wikidata.org/entity/Q23176,40
80,170000967,A GAIVOTIÑA II,111'3,24/04/2014,16,https://wikidata.org/entity/Q23763,56
81,170000259,PEÑA DE FRANCIA,32'4,24/04/2014,15,https://wikidata.org/entity/Q23591,60
82,270456160,LUCKY,12'96,24/04/2014,8,https://wikidata.org/entity/Q23348,16
83,170002005,EL KUBO,127'98,24/04/2014,16,https://wikidata.org/entity/Q23763,64
84,270181857,BAR ASTURIAS,68'4,24/04/2014,22,https://wikidata.org/entity/Q24507,88
85,270379680,LA ABUELA,18'72,24/04/2014,8,https://wikidata.org/entity/Q23348,24
