id_terraza,id_local,rotulo,Superficie,FechaLicencia,mesas_es,sameAsWikidataMesas,sillas_es
86,170000257,BAR PEMA,37,24/04/2014,11,https://wikidata.org/entity/Q23515,42
87,270286727,CASA MONICA,50'04,24/04/2014,15,https://wikidata.org/entity/Q23591,56
88,180000366,EL JARDIN DEL BACO,97'56,25/04/2014,24,https://wikidata.org/entity/Q23857,96
89,270324826,CERVECERIA LA TOMASA,48'6,25/04/2014,15,https://wikidata.org/entity/Q23591,57
91,270032503,BAR  LA HACIENDA,83'16,25/04/2014,24,https://wikidata.org/entity/Q23857,96
95,270184841,CERVECERIA LA TORRE,27,28/04/2014,10,https://wikidata.org/entity/Q23176,40
98,270185092,EL JARDIN DE BACO II,44'38,28/04/2014,17,https://wikidata.org/entity/Q23602,68
101,170000673,D`YISA NAILS,25'92,30/04/2014,8,https://wikidata.org/entity/Q23348,32
102,270456985,LAS BEGONIAS,99'12,30/04/2014,25,https://wikidata.org/entity/Q24560,84
103,170000832,BAR CASA CONEL,37'08,30/04/2014,4,https://wikidata.org/entity/Q19620,12
104,170001203,PASTELERIA PANADERIA CAFETERIA CHICO,30,30/04/2014,10,https://wikidata.org/entity/Q23176,30
105,170000724,BAR LAS NIÑAS,10'08,30/04/2014,7,https://wikidata.org/entity/Q23344,14
106,270181482,BAR MEZQUITA,31'86,30/04/2014,6,https://wikidata.org/entity/Q19774,12
107,170000308,BAR RENATO,98'81,30/04/2014,22,https://wikidata.org/entity/Q24507,88
108,270020492,PEREZ CAFETERIA,19'44,30/04/2014,6,https://wikidata.org/entity/Q19774,24
109,270539656,100 MONTADITOS,72'5,30/04/2014,21,https://wikidata.org/entity/Q23772,84
110,270183511,RESTAURANTE GALLARDO,51'84,30/04/2014,16,https://wikidata.org/entity/Q23763,64
111,270023348,LA ATALAYA,97'2,30/04/2014,30,https://wikidata.org/entity/Q23295,120
112,170000123,ALQUEZAR LA BODEGA DE COTE,72,30/04/2014,20,https://wikidata.org/entity/Q23236,80
113,270314735,RESTAURANTE SALINAS PROSPERIDAD III,90'57,30/04/2014,14,https://wikidata.org/entity/Q23596,56
114,170000009,JOSE,27,30/04/2014,7,https://wikidata.org/entity/Q23344,28
115,270488062,CAFE SAXO,77'76,30/04/2014,24,https://wikidata.org/entity/Q23857,96
116,170000013,CERVECERIA SAN CRISTOBAL,21'78,30/04/2014,6,https://wikidata.org/entity/Q19774,24
117,270182385,EL PORTON,99'77,30/04/2014,21,https://wikidata.org/entity/Q23772,84
119,270418033,PLAZA II,32'4,30/04/2014,18,https://wikidata.org/entity/Q23756,63
120,270033353,BAR PIRATA,77,30/04/2014,21,https://wikidata.org/entity/Q23772,84
121,20000100,CERVECERIA LA LASTRA,17'36,30/04/2014,6,https://wikidata.org/entity/Q19774,16
122,20000172,BAR SORIA,37'41,30/04/2014,9,https://wikidata.org/entity/Q23339,36
124,20001101,CERVECERIA CANTALEJO RESTAURANTE,47'81,30/04/2014,17,https://wikidata.org/entity/Q23602,61
125,270267597,BAR ORENSE,12'96,30/04/2014,4,https://wikidata.org/entity/Q19620,16
126,20001080,BAR EL CONQUISTADOR,37'87,30/04/2014,12,https://wikidata.org/entity/Q23378,47
127,270055919,CAFETERIA LOA,27'93,30/04/2014,8,https://wikidata.org/entity/Q23348,26
128,200001508,LA SEDE D'ANDRUBEN,45'22,06/05/2014,14,https://wikidata.org/entity/Q23596,56
129,270458555,EL RINCON DE SIXTO',39'06,06/05/2014,11,https://wikidata.org/entity/Q23515,44
130,270524837,BAR RESTAURANTE,31'35,06/05/2014,6,https://wikidata.org/entity/Q19774,22
131,270228855,BAR ALFIL,32'61,06/05/2014,10,https://wikidata.org/entity/Q23176,40
132,270157776,BAR PISCIS,20'77,06/05/2014,10,https://wikidata.org/entity/Q23176,22
135,270438751,LA ALEGRIA,20'52,06/05/2014,5,https://wikidata.org/entity/Q19610,20
136,270490968,BAR CLEMENTE,16'38,06/05/2014,7,https://wikidata.org/entity/Q23344,21
137,270477281,CAFE BAR MARTIN,15'84,06/05/2014,6,https://wikidata.org/entity/Q19774,20
138,270309378,CAFETERIA HINOJAR,18'9,06/05/2014,10,https://wikidata.org/entity/Q23176,25
145,285031450,DON GERMAN,50'86,07/05/2014,12,https://wikidata.org/entity/Q23378,48
147,170000809,RESTAURANTE PARQUE ROSALES CERVECERIA,55'43,08/05/2014,21,https://wikidata.org/entity/Q23772,70
148,285021312,EL BAR,8'47,09/05/2014,5,https://wikidata.org/entity/Q19610,16
149,270519524,8 1/2 LIBROS DE CINE,19'46,09/05/2014,8,https://wikidata.org/entity/Q23348,31
151,270540061,MONTEFERRO,65'55,09/05/2014,18,https://wikidata.org/entity/Q23756,36
152,270417284,CAFETERIA 204,51'3,09/05/2014,15,https://wikidata.org/entity/Q23591,60
153,270534735,PARRILLA BONALMA,22'8,09/05/2014,7,https://wikidata.org/entity/Q23344,25
154,270217569,BAR,60'01,09/05/2014,17,https://wikidata.org/entity/Q23602,68
155,270156329,BAR LUZON,48'59,09/05/2014,15,https://wikidata.org/entity/Q23591,60
156,270363433,CAFETERIA HALLEY,20,09/05/2014,4,https://wikidata.org/entity/Q19620,15
157,270432683,BAR SANCHEZ,25'92,09/05/2014,8,https://wikidata.org/entity/Q23348,32
159,270280806,VENTA CARMONA,64'03,09/05/2014,16,https://wikidata.org/entity/Q23763,64
160,270183220,CAFETERIA LUMAR,37'73,09/05/2014,12,https://wikidata.org/entity/Q23378,48
161,270471784,BAR CASA MONICA,195'7,09/05/2014,29,https://wikidata.org/entity/Q23866,116
163,270191062,EL PILAR,86'68,09/05/2014,30,https://wikidata.org/entity/Q23295,80
164,270181096,EL PORTON,21'06,09/05/2014,9,https://wikidata.org/entity/Q23339,27
165,170000796,BAR EL RINCON DEL QUIJOTE,53'2,09/05/2014,15,https://wikidata.org/entity/Q23591,54
167,270250040,DI MADRID,231'32,09/05/2014,38,https://wikidata.org/entity/Q23847,152
168,270033525,EL ZAGUAN,125'37,09/05/2014,20,https://wikidata.org/entity/Q23236,80
171,170000283,LA BODEGUILLA IBERICA,39'64,09/05/2014,8,https://wikidata.org/entity/Q23348,32
172,170000006,BAR VIETNAM,40'05,09/05/2014,11,https://wikidata.org/entity/Q23515,44
173,270183106,BAR JOSE LUIS,31'34,09/05/2014,11,https://wikidata.org/entity/Q23515,34
175,270057250,CAFETERIA FERROCARRIL,44'64,09/05/2014,14,https://wikidata.org/entity/Q23596,38
177,280017278,RESTARAURANTE  O'PORTIÑO,94'07,09/05/2014,26,https://wikidata.org/entity/Q23774,104
179,280018318,LA MARGHERITA,90'72,09/05/2014,28,https://wikidata.org/entity/Q24816,107
181,270299459,RESTAURANTE LA POTA DOURO,4'68,09/05/2014,2,https://wikidata.org/entity/Q19647,6
